Pattern,DataProvider,SourceVersion,Species,SourceUrl,SourceType,Tag
cvfit_c46,Salignon J et al.,2025,Homo sapiens,https://github.com/jsalignon/pasta,RData,OmniAgeR:Transcriptomics:AgingClock:Biomarker
cvfit_pasta,Salignon J et al.,2025,Homo sapiens,https://github.com/jsalignon/pasta,RData,OmniAgeR:Transcriptomics:AgingClock:Biomarker
cvfit_reg,Salignon J et al.,2025,Homo sapiens,https://github.com/jsalignon/pasta,RData,OmniAgeR:Transcriptomics:AgingClock:Biomarker
beta_c46,Salignon J et al.,2025,Homo sapiens,https://github.com/jsalignon/pasta,RData,OmniAgeR:Transcriptomics:AgingClock:Biomarker
beta_pasta,Salignon J et al.,2025,Homo sapiens,https://github.com/jsalignon/pasta,RData,OmniAgeR:Transcriptomics:AgingClock:Biomarker
pasta_gene,Salignon J et al.,2025,Homo sapiens,https://github.com/jsalignon/pasta,RData,OmniAgeR:Transcriptomics:AgingClock:Biomarker
crp,Wielscher M et al.,2022,Homo sapiens,https://doi.org/10.6084/m9.figshare.19188674.v1,CSV,OmniAgeR:Methylation:SurrogateBiomarker
il6,Stevenson AJ et al.,2021,Homo sapiens,https://doi.org/10.1093/gerona/glab046,TXT,OmniAgeR:Methylation:SurrogateBiomarker
chip,Kirmani S et al.,2025,Homo sapiens,https://doi.org/10.1038/s41467-025-59333-w,XLS/XLSX,OmniAgeR:Methylation:SurrogateBiomarker
episcores,Gadd DA et al.,2022,Homo sapiens,https://zenodo.org/records/7154750,CSV,OmniAgeR:Methylation:SurrogateBiomarker
mccartney,McCartney DL et al.,2018,Homo sapiens,https://doi.org/10.1186/s13059-018-1514-1,XLS/XLSX,OmniAgeR:Methylation:PhenotypePrediction:Biomarker
smk_idx,Teschendorff AE et al.,2015,Homo sapiens,https://doi.org/10.1001/jamaoncol.2015.1053,TXT,OmniAgeR:Methylation:RiskModel:Biomarker
hepato_xu,Xu Rh et al.,2017,Homo sapiens,https://doi.org/10.1038/nmat4997,TXT,OmniAgeR:Methylation:RiskModel:Biomarker
ensembleage,Haghani A. et al.,2025,Mammalia,https://doi.org/10.1007/s11357-025-01808-1,XLS/XLSX,OmniAgeR:Methylation:AgingClock:CrossSpecies:Biomarker
pan_mammalian_clock,Lu AT et al.,2023,Mammalia,https://github.com/shorvath/MammalianMethylationConsortium/tree/v4.0.0,CSV,OmniAgeR:Methylation:AgingClock:CrossSpecies:Biomarker
pan_mammalian_blood,Lu AT et al.,2023,Mammalia,https://github.com/shorvath/MammalianMethylationConsortium/tree/v4.0.0,CSV,OmniAgeR:Methylation:AgingClock:CrossSpecies:Biomarker
pan_mammalian_skin,Lu AT et al.,2023,Mammalia,https://github.com/shorvath/MammalianMethylationConsortium/tree/v4.0.0,CSV,OmniAgeR:Methylation:AgingClock:CrossSpecies:Biomarker
brain_frohlich_control_example_15donors,NCBI GEO,2024,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254569,HDF5,OmniAgeR:Transcriptomics:SingleCell:ExampleData
cts_example_data_liver,Tong H et al.,2024,Homo sapiens,https://github.com/HGT-UwU/CTSclocks/tree/main,RData,OmniAgeR:Epigenetics:ExampleData
cts_murphy_gse88890,Tong H et al.,2024,Homo sapiens,https://github.com/HGT-UwU/CTSclocks/tree/main,RData,OmniAgeR:Epigenetics:ExampleData
cts_pai_gse112179,Tong H et al.,2024,Homo sapiens,https://github.com/HGT-UwU/CTSclocks/tree/main,RData,OmniAgeR:Epigenetics:ExampleData
ga_example,Knight AK et al.,2016,Homo sapiens,https://github.com/akknight/PredictGestationalAge,CSV,OmniAgeR:Epigenetics:ExampleData
hannum_example,NCBI GEO,2012,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40279,IDAT,OmniAgeR:Epigenetics:ExampleData
lung_inv,Teschendorff AE.,2023,Homo sapiens,https://github.com/aet21/EpiMitClocks,RData,OmniAgeR:Epigenetics:ExampleData
seu_gabitto_2024_filtered,CELLxGENE,2024,Homo sapiens,https://datasets.cellxgene.cziscience.com/9d53f7bb-dc23-4c05-b2a6-4afa9a6e3be0.rds,RDS,OmniAgeR:Transcriptomics:SingleCell:ExampleData
tursiops_example,Lu AT et al.,2023,Tursiops truncatus,https://zenodo.org/records/7574747,RDS,OmniAgeR:CrossSpecies:AnimalModels:ExampleData
anage_data,Lu AT et al.,2023,Mammalia,https://zenodo.org/records/7574747,RDS,OmniAgeR:CrossSpecies:AnimalModels
tzh_example_ctf,National Omics Data Encyclopedia,2020,Homo sapiens,https://www.biosino.org/node/project/detail/OEP000260,IDAT,OmniAgeR:Methylation:AgingClock:Biomarker
yazar_cd4t_cd8t_example,CELLxGENE,2022,Homo sapiens,https://cellxgene.cziscience.com/collections/dde06e0f-ab3b-46be-96a2-a8082383c4a1,RDS,OmniAgeR:Transcriptomics:SingleCell:ExampleData
dnam_ctf,Du Zhaozhen,2025,Homo sapiens,https://github.com/Duzhaozhen/OmniAge,RDS,OmniAgeR:Epigenetics:ExampleData
